Comment,Designator,Footprint,JLCPCB Part #
LM2596S-ADJ,"U2,U3,U4",TO-263-5_L10.2-W8.9-P1.70-BR,C347423
10uF,C1,C1206,C7432781
100nF,"C2,C6,C8,C10,C17,C18,C19,C35",C0805,C49678
470uF 25V,"C3,C11",CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,C2983319
470uF 16V,"C4,C22,C23",CAP-SMD_BD6.3-L6.6-W6.6-FD,C46550400
100uF,"C5,C7,C9",CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD,C22383804
470uF,"C14,C20,C21,C24,C25",CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,C22387780
470nF,"C15,C16",C0603,C1623
1uF 16V,"C30,C34",C0603,C6119849
22nF,"C31,C32,C33",C0805,C1710
SS34,"D1,D2,D3",SMA_L4.3-W2.6-LS5.2-RD,C8678
USBLC6-2SC6,D4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C7519
USB-C,J1,TYPE-C-SMD_TYPE-C-6P,C456012
1217754-1,"J6,J7,J8,J9",CONN-TH_1217754-1,C305825
2541WR-2X08P,"J10,J11",HDR-TH_16P-P2.54-H-M-R2-C8-S2.54,C5383092
100uH,"L1,L2,L3",IND-SMD_L13.8-W12.8,C19268674
Green,LED2,LED0603-RD,C19171392
Blue,LED3,LED0603-RD,C5382145
Red,LED4,LED0603-RD,C2286
1k,"R2,R4,R6",R0603,C21190
10k,"R1,R5",R0603,C25804
SMAJ15A_C571368,"TVS1,TVS3",D-FLAT_L4.3-W2.6-LS5.3-RD,C571368
SD05_C502527,TVS2,SOD-323_L1.8-W1.3-LS2.5-FD,C502527
STUSB4500QTR,U1,QFN-24_L4.0-W4.0-P0.50-BL-EP2.8,C2678061
L7812CD2T-TR,U6,TO-263-2_L10.0-W9.1-P5.08-LS15.2-TL,C13456
L7805ABD2T-TR,U7,TO-263-2_L10.0-W9.2-P5.08-LS15.3-TL-CW,C86206
CJ7912_C94173,U8,TO-252-3_L6.5-W5.8-P4.58-BL,C94173
-30V -4A,Q1,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,C347476
BSMD1206-150-16V,PTC3,F1206,C883133
1k,"R7,R8,R9",R0805,C25623
SMD1210P200TF,PTC1,F1210,C20808
mSMD110-33V,PTC2,F1812,C70119
5.1k,R3,R0603,C23186
100k,R11,R0603,C14675
56k,R12,R0603,C705785
470,R13,R0603,C23162
